;index;Unnamed: 0.1;Unnamed: 0;mode;price;pbeach;ppier;pboat;pcharter;cbeach;cpier;cboat;ccharter;income
19;19;19;19;boat;11.322;49.062;49.062;11.322;35.322;0.1049;0.0451;0.1574;0.4671;4583.332
20;20;20;20;charter;53.522;345.744;345.744;18.522;53.522;0.5333;0.4522;0.0156;0.0058;7916.6663
21;21;21;21;charter;44.322;88.06200000000001;88.06200000000001;20.322;44.322;0.1049;0.0451;0.0023;0.0046;8750.001
22;22;22;22;boat;15.134;100.674;100.674;15.134;50.13399999999999;0.5333;0.4522;0.1665;0.3975;2083.3332
23;23;23;23;charter;43.734;28.314;28.314;19.734;43.734;0.1049;0.0079;0.0613;0.3087;2916.6666
24;24;24;24;charter;69.32;33.462;33.462;34.32;69.32;0.0678;0.0789;0.0559;0.6456;2916.6666
25;25;25;25;beach;67.78399999999999;67.78399999999999;67.78399999999999;17.862000000000002;52.862;0.5333;0.4522;0.2413;1.0266;1249.9998
26;26;26;26;pier;50.32;50.32;50.32;49.062;73.062;0.1049;0.0451;0.1574;0.4671;4583.332
27;27;27;27;boat;74.32;72.462;72.462;74.32;109.32;0.0678;0.0789;0.0897;1.0905;7083.3317
28;28;28;28;charter;45.534;70.074;70.074;10.534;45.534;0.5333;0.4522;0.0156;0.0058;1249.9998
29;29;29;29;charter;54.734;131.274;131.274;19.734;54.734;0.5333;0.4522;0.0156;0.0058;2916.6666
30;30;30;30;charter;43.734;28.314;28.314;19.734;43.734;0.1049;0.0451;0.0023;0.0046;2916.6666
31;31;31;31;charter;35.322;49.062;49.062;11.322;35.322;0.1049;0.0079;0.0613;0.3087;4583.332
32;32;32;32;boat;7.722;33.462;33.462;7.722;31.722;0.1049;0.0451;0.0023;0.0046;2916.6666
33;33;33;33;beach;9.522;9.522;9.522;78.292;107.292;0.0678;0.0789;0.0014;0.0029;3749.9999
34;34;34;34;pier;25.662;25.662;25.662;5.922000000000001;29.922;0.1049;0.0079;0.0613;0.3087;2083.3332
35;35;35;35;charter;42.722;144.144;144.144;7.722;42.722;0.5333;0.0069;0.0361;0.4216;2916.6666
36;36;36;36;pier;120.004;120.004;120.004;252.64;281.64;0.0678;0.0789;0.0014;0.0029;12499.998
37;37;37;37;boat;80.608;25.648000000000003;25.648000000000003;80.608;105.608;0.2537;0.1498;0.0531;0.0052;1249.9998
38;38;38;38;charter;60.004;115.808;115.808;25.004;60.004;0.5333;0.4522;0.0156;0.0058;2083.3332
39;39;39;39;pier;32.604;32.604;32.604;68.64;97.64;0.0678;0.0789;0.1643;0.5391;2916.6666
40;40;40;40;boat;46.332;10.296;10.296;46.332;75.332;0.0678;0.0789;0.1643;0.5391;2916.6666
41;41;41;41;charter;89.912;10.296;10.296;54.912;89.912;0.0678;0.0789;0.0897;1.0905;2916.6666
42;42;42;42;boat;15.095999999999998;231.472;231.472;15.095999999999998;50.096;0.5333;0.4522;0.2413;1.0266;4583.332
43;43;43;43;charter;211.208;59.248000000000005;59.248000000000005;186.208;211.208;0.2537;0.1498;0.7369;2.3101;3749.9999
44;44;44;44;charter;50.096;231.472;231.472;15.095999999999998;50.096;0.5333;0.4522;0.2413;1.0266;4583.332
45;45;45;45;pier;19.896;19.896;19.896;89.53200000000001;118.532;0.0678;0.0789;0.0014;0.0029;6250.0013
46;46;46;46;charter;57.29600000000001;341.872;341.872;22.296;57.29600000000001;0.5333;0.4522;0.2413;1.0266;7083.3317
47;47;47;47;charter;52.404;80.608;80.608;17.404;52.404;0.5333;0.4522;0.2413;1.0266;1249.9998
48;48;48;48;beach;24.334;24.334;24.334;89.93;118.93;0.0678;0.0789;0.1643;0.5391;3749.9999
49;49;49;49;beach;11.322;11.322;11.322;93.092;122.092;0.0678;0.0789;0.1643;0.5391;4583.332
50;50;50;50;charter;44.522;177.74400000000003;177.74400000000003;9.522;44.522;0.5333;0.4522;0.0156;0.0058;3749.9999
51;51;51;51;pier;5.922000000000001;5.922000000000001;5.922000000000001;48.692;77.692;0.0678;0.0789;0.1643;0.5391;2083.3332
52;52;52;52;boat;9.522;177.74400000000003;177.74400000000003;9.522;44.522;0.5333;0.4522;0.2413;1.0266;3749.9999
53;53;53;53;boat;10.534;70.074;70.074;10.534;45.534;0.5333;0.0069;0.0361;0.4216;1249.9998
54;54;54;54;charter;52.934;41.514;41.514;28.934;52.934;0.1049;0.0079;0.0613;0.3087;4583.332
55;55;55;55;charter;39.134;21.714;21.714;15.134;39.134;0.1049;0.0451;0.0023;0.0046;2083.3332
56;56;56;56;charter;42.722;144.144;144.144;7.722;42.722;0.5333;0.4522;0.0156;0.0058;2916.6666
57;57;57;57;boat;5.922000000000001;25.662;25.662;5.922000000000001;29.922;0.1049;0.0079;0.0613;0.3087;2083.3332
58;58;58;58;boat;13.122;244.944;244.944;13.122;48.122;0.5333;0.4522;0.0156;0.0058;5416.6667
59;59;59;59;charter;42.722;144.144;144.144;7.722;42.722;0.5333;0.4522;0.2413;1.0266;2916.6666
60;60;60;60;pier;5.922000000000001;5.922000000000001;5.922000000000001;48.692;77.692;0.0678;0.0789;0.0014;0.0029;2083.3332
61;61;61;61;pier;93.092;93.092;93.092;93.092;118.092;0.0678;0.0503;0.2601;0.5391;4583.332
62;62;62;62;charter;44.522;177.74400000000003;177.74400000000003;9.522;44.522;0.5333;0.0069;0.0361;0.4216;3749.9999
63;63;63;63;boat;9.522;41.262;41.262;9.522;33.522;0.1049;0.0451;0.1574;0.4671;3749.9999
64;64;64;64;pier;9.522;9.522;9.522;78.292;107.292;0.0678;0.0789;0.1643;0.5391;3749.9999
65;65;65;65;charter;39.122;76.944;76.944;4.122;39.122;0.5333;0.4522;0.2413;1.0266;1249.9998
66;66;66;66;boat;9.522;177.74400000000003;177.74400000000003;9.522;44.522;0.5333;0.4522;0.2413;1.0266;3749.9999
67;67;67;67;charter;44.522;177.74400000000003;177.74400000000003;9.522;44.522;0.5333;0.4522;0.1665;0.3975;3749.9999
68;68;68;68;boat;13.122;244.944;244.944;13.122;48.122;0.5333;0.4522;0.2413;1.0266;5416.6667
69;69;69;69;pier;33.462;33.462;33.462;7.722;31.722;0.1049;0.0451;0.1574;0.4671;2916.6666
70;70;70;70;boat;7.722;33.462;33.462;7.722;31.722;0.1049;0.0451;0.0023;0.0046;2916.6666
71;71;71;71;charter;60.662;5.922000000000001;5.922000000000001;25.662;60.662;0.0678;0.0789;0.0102;0.0209;2083.3332
72;72;72;72;charter;53.522;345.744;345.744;18.522;53.522;0.5333;0.4522;0.1665;0.3975;7916.6663
73;73;73;73;boat;13.122;244.944;244.944;13.122;48.122;0.5333;0.0069;0.0361;0.4216;5416.6667
74;74;74;74;boat;14.922;64.66199999999999;64.66199999999999;14.922;38.922;0.1049;0.0451;0.0023;0.0046;6250.0013
75;75;75;75;beach;9.522;9.522;9.522;78.292;107.292;0.0678;0.0789;0.1643;0.5391;3749.9999
76;76;76;76;beach;24.696;24.696;24.696;111.132;140.132;0.0678;0.0789;0.1643;0.5391;7916.6663
77;77;77;77;boat;33.892;33.892;33.892;33.892;58.892;0.0678;0.0503;0.2601;0.5391;1249.9998
78;78;78;78;charter;42.722;144.144;144.144;7.722;42.722;0.5333;0.0069;0.0361;0.4216;2916.6666
79;79;79;79;boat;5.922000000000001;110.544;110.544;5.922000000000001;40.922;0.5333;0.4522;0.2413;1.0266;2083.3332
80;80;80;80;charter;39.122;76.944;76.944;4.122;39.122;0.5333;0.4522;0.0156;0.0058;1249.9998
81;81;81;81;beach;7.722;7.722;7.722;63.492;92.492;0.0678;0.0789;0.0014;0.0029;2916.6666
82;82;82;82;boat;9.522;177.74400000000003;177.74400000000003;9.522;44.522;0.5333;0.4522;0.1665;0.3975;3749.9999
83;83;83;83;boat;4.122;17.862000000000002;17.862000000000002;4.122;28.122;0.1049;0.0451;0.1574;0.4671;1249.9998
84;84;84;84;charter;51.962;33.462;33.462;33.462;51.962;0.2537;0.0014;0.0626;0.2773;2916.6666
85;85;85;85;boat;39.474;8.514;8.514;39.474;64.47399999999999;0.2537;0.1498;0.6817;2.3014;416.66668
86;86;86;86;charter;89.714;38.134;38.134;54.714;89.714;0.0678;0.0789;0.0559;0.6456;6250.0013
87;87;87;87;boat;34.914;24.334;24.334;34.914;69.914;0.0678;0.0789;0.0897;1.0905;3749.9999
88;88;88;88;pier;100.674;100.674;100.674;15.134;50.13399999999999;0.5333;0.4522;0.2413;1.0266;2083.3332
89;89;89;89;pier;104.214;104.214;104.214;104.214;122.714;0.2537;0.1498;0.2339;0.6288;12499.998
90;90;90;90;charter;59.334;161.874;161.874;24.334;59.334;0.5333;0.4522;0.0156;0.0058;3749.9999
91;91;91;91;charter;57.534;48.114;48.114;33.534;57.534;0.1049;0.0451;0.1574;0.4671;5416.6667
92;92;92;92;boat;66.32;64.66199999999999;64.66199999999999;66.32;101.32;0.0678;0.0789;0.0102;0.0209;6250.0013
93;93;93;93;charter;109.32;72.462;72.462;74.32;109.32;0.0678;0.0789;0.0102;0.0209;7083.3317
94;94;94;94;boat;111.462;422.984;422.984;111.462;146.46200000000002;0.5333;0.4522;0.0051;1.0266;11250.001
95;95;95;95;charter;93.32;56.862;56.862;58.32;93.32;0.0678;0.0789;0.0102;0.0209;5416.6667
96;96;96;96;boat;74.32;72.462;72.462;74.32;109.32;0.0678;0.0789;0.0897;1.0905;7083.3317
97;97;97;97;charter;79.24;210.566;210.566;49.74;79.24;0.0678;0.0052;0.0732;0.1726;6250.0013
98;98;98;98;pier;43.74;43.74;43.74;52.488;70.988;0.2537;0.1498;0.2339;0.6288;5416.6667
99;99;99;99;beach;31.74;31.74;31.74;38.088;56.588;0.2537;0.1498;0.2339;0.6288;3749.9999
100;100;100;100;beach;19.74;19.74;19.74;23.688;42.188;0.2537;0.1498;0.2339;0.6288;2083.3332
101;101;101;101;pier;31.74;31.74;31.74;38.088;56.588;0.2537;0.1498;0.2339;0.6288;3749.9999
102;102;102;102;charter;60.74;55.77;55.77;25.74;60.74;0.0678;0.0025;0.0108;0.2377;2916.6666
103;103;103;103;charter;54.74;42.77;42.77;19.74;54.74;0.0678;0.0789;0.0559;0.6456;2083.3332
104;104;104;104;charter;91.24;261.366;261.366;61.74;91.24;0.0678;0.0052;0.0732;0.1726;7916.6663
105;105;105;105;charter;181.77;268.702;268.702;146.77;181.77;0.5333;0.4522;0.1665;0.3975;8750.001
106;106;106;106;charter;246.102;55.74;55.74;221.102;246.102;0.2537;0.1498;0.6817;2.3014;7083.3317
107;107;107;107;charter;67.24;159.766;159.766;37.74;67.24;0.0678;0.0052;0.0732;0.1726;4583.332
108;108;108;108;pier;16.77;16.77;16.77;32.766;61.766000000000005;0.0678;0.0789;0.1643;0.5391;416.66668
109;109;109;109;boat;68.77;125.902;125.902;68.77;103.77;0.5333;0.4522;0.2413;1.0266;3749.9999
110;110;110;110;boat;58.32;56.862;56.862;58.32;93.32;0.0678;0.0025;0.0108;0.2377;5416.6667
111;111;111;111;charter;61.32;25.662;25.662;26.32;61.32;0.0678;0.0025;0.0108;0.2377;2083.3332
112;112;112;112;charter;47.82;46.258;46.258;18.32;47.82;0.0678;0.0052;0.0732;0.1726;1249.9998
113;113;113;113;beach;42.32;42.32;42.32;42.32;60.82;0.2537;0.1498;0.0233;0.0219;3749.9999
114;114;114;114;charter;101.32;64.66199999999999;64.66199999999999;66.32;101.32;0.0678;0.0789;0.0559;0.6456;6250.0013
115;115;115;115;charter;65.262;42.32;42.32;41.262;65.262;0.1049;0.0451;0.1574;0.4671;3749.9999
116;116;116;116;boat;58.32;58.32;58.32;58.32;76.82;0.2537;0.1498;0.0233;0.0219;5416.6667
117;117;117;117;charter;108.002;77.234;77.234;73.002;108.002;0.0678;0.0789;0.0102;0.0209;3749.9999
118;118;118;118;charter;97.634;150.15;150.15;62.63399999999999;97.634;0.5333;0.4522;0.2413;1.0266;2916.6666
119;119;119;119;charter;296.552;135.634;135.634;267.552;296.552;0.0678;0.0789;0.1643;0.0041;7083.3317
120;120;120;120;beach;73.002;73.002;73.002;73.002;91.502;0.2537;0.1498;0.2339;0.6288;3749.9999
121;121;121;121;boat;94.74;205.27;205.27;94.74;129.74;0.0678;0.0789;0.0897;1.0905;12499.998
122;122;122;122;charter;60.74;55.77;55.77;25.74;60.74;0.0678;0.0789;0.0897;1.0905;2916.6666
123;123;123;123;beach;61.74;61.74;61.74;74.08800000000001;92.588;0.2537;0.1498;0.2339;0.6288;7916.6663
124;124;124;124;boat;55.74;120.77;120.77;55.74;90.74;0.0678;0.0789;0.0102;0.0209;7083.3317
125;125;125;125;charter;102.74;146.77;146.77;67.74;102.74;0.0678;0.0789;0.0102;0.0209;8750.001
126;126;126;126;pier;55.74;55.74;55.74;66.888;85.38799999999999;0.2537;0.1498;0.2339;0.6288;7083.3317
127;127;127;127;charter;61.24;134.366;134.366;31.74;61.24;0.0678;0.0052;0.0732;0.1726;3749.9999
128;128;128;128;pier;49.74;49.74;49.74;59.688;78.188;0.2537;0.1498;0.2339;0.6288;6250.0013
129;129;129;129;boat;94.74;205.27;205.27;94.74;129.74;0.0678;0.0789;0.0102;0.0209;12499.998
130;130;130;130;boat;94.74;205.27;205.27;94.74;129.74;0.0678;0.0025;0.0108;0.2377;12499.998
131;131;131;131;charter;84.74;107.77;107.77;49.74;84.74;0.0678;0.0789;0.0559;0.6456;6250.0013
132;132;132;132;boat;61.74;261.366;261.366;61.74;91.24;0.0678;0.0052;0.0732;0.1726;7916.6663
133;133;133;133;boat;25.74;108.966;108.966;25.74;55.24;0.0678;0.0503;0.0143;0.0289;2916.6666
134;134;134;134;boat;67.74;286.766;286.766;67.74;97.24;0.0678;0.0503;0.0143;0.0289;8750.001
135;135;135;135;boat;205.27;375.802;375.802;205.27;240.27;0.5333;0.4522;0.0156;0.0058;12499.998
136;136;136;136;charter;66.74;68.77;68.77;31.74;66.74;0.0678;0.0025;0.0108;0.2377;3749.9999
137;137;137;137;charter;66.74;68.77;68.77;31.74;66.74;0.0678;0.0789;0.0559;0.6456;3749.9999
138;138;138;138;charter;52.862;67.78399999999999;67.78399999999999;17.862000000000002;52.862;0.5333;0.0069;0.0361;0.4216;1249.9998
139;139;139;139;charter;84.06200000000001;186.18400000000003;186.18400000000003;49.062;84.06200000000001;0.5333;0.4522;0.2413;1.0266;4583.332
140;140;140;140;boat;66.32;66.32;66.32;66.32;84.82;0.2537;0.1498;0.2339;0.6288;6250.0013
141;141;141;141;charter;45.062;38.184;38.184;10.062;45.062;0.5333;0.4522;0.1665;0.3975;416.66668
142;142;142;142;boat;74.32;72.462;72.462;74.32;109.32;0.0678;0.0789;0.0897;1.0905;7083.3317
143;143;143;143;charter;85.32;49.062;49.062;50.32;85.32;0.0678;0.0025;0.0108;0.2377;4583.332
144;144;144;144;boat;94.506;333.25800000000004;333.25800000000004;94.506;129.506;0.5333;0.4522;0.2413;1.0266;6250.0013
145;145;145;145;charter;84.306;85.698;85.698;60.306;84.306;0.1049;0.0451;0.0023;0.0046;3749.9999
146;146;146;146;charter;185.198;166.69799999999998;166.69799999999998;166.69799999999998;185.198;0.2537;0.0014;0.0626;0.2773;7916.6663
147;147;147;147;charter;106.706;252.858;252.858;71.706;106.706;0.5333;0.4522;0.0156;0.0058;4583.332
148;148;148;148;boat;182.898;128.70600000000002;128.70600000000002;182.898;217.898;0.0678;0.0789;0.0897;1.0905;8750.001
149;149;149;149;charter;95.306;212.658;212.658;60.306;95.306;0.5333;0.4522;0.0156;0.0058;3749.9999
150;150;150;150;charter;95.306;212.658;212.658;60.306;95.306;0.5333;0.4522;0.0156;0.0058;3749.9999
151;151;151;151;charter;61.106;92.058;92.058;26.106;61.106;0.5333;0.4522;0.0156;0.0058;1249.9998
152;152;152;152;boat;63.172;139.35;139.35;63.172;87.17200000000001;0.1049;0.0079;0.0613;0.3087;7083.3317
153;153;153;153;boat;49.572;109.35;109.35;49.572;73.572;0.1049;0.0079;0.0613;0.3087;5416.6667
154;154;154;154;boat;56.372;323.31;323.31;56.372;91.372;0.5333;0.4522;0.2413;1.0266;6250.0013
155;155;155;155;boat;71.214;71.214;71.214;71.214;96.214;0.0678;0.0503;0.0276;0.0029;2916.6666
156;156;156;156;boat;42.772;94.35;94.35;42.772;66.77199999999999;0.1049;0.0451;0.1574;0.4671;4583.332
157;157;157;157;charter;73.572;109.35;109.35;49.572;73.572;0.1049;0.0451;0.0023;0.0046;5416.6667
158;158;158;158;pier;49.572;49.572;49.572;121.014;150.014;0.0678;0.0789;0.1643;0.5391;5416.6667
159;159;159;159;charter;70.972;206.31;206.31;35.972;70.972;0.5333;0.4522;0.2413;1.0266;3749.9999
160;160;160;160;charter;77.77199999999999;245.31;245.31;42.772;77.77199999999999;0.5333;0.4522;0.0051;1.0266;4583.332
161;161;161;161;charter;70.972;206.31;206.31;35.972;70.972;0.5333;0.4522;0.2413;1.0266;3749.9999
162;162;162;162;charter;192.31;64.35;64.35;167.31;192.31;0.2537;0.1498;0.6817;2.3014;2916.6666
163;163;163;163;beach;42.772;42.772;42.772;104.414;133.414;0.0678;0.0789;0.1643;0.5391;4583.332
164;164;164;164;charter;91.372;323.31;323.31;56.372;91.372;0.5333;0.0069;0.0361;0.4216;6250.0013
165;165;165;165;beach;15.572;15.572;15.572;38.014;67.014;0.0678;0.0789;0.1643;0.5391;1249.9998
166;166;166;166;boat;71.214;71.214;71.214;71.214;96.214;0.0678;0.0503;0.2601;0.5391;2916.6666
167;167;167;167;boat;94.35;104.414;104.414;94.35;123.85;0.0678;0.0503;0.0143;0.0289;4583.332
168;168;168;168;beach;124.35;124.35;124.35;124.35;142.85;0.2537;0.1498;0.2339;0.6288;6250.0013
169;169;169;169;charter;129.414;104.414;104.414;104.414;129.414;0.0678;0.0503;0.2601;0.5391;4583.332
170;170;170;170;boat;175.748;175.748;175.748;175.748;194.248;0.2537;0.1498;0.0233;0.0219;6250.0013
171;171;171;171;boat;72.9;335.34;335.34;72.9;107.9;0.5333;0.0069;0.0361;0.4216;5416.6667
172;172;172;172;charter;87.9;243.34;243.34;52.9;87.9;0.5333;0.4522;0.0156;0.0058;3749.9999
173;173;173;173;beach;22.372;22.372;22.372;54.614;83.61399999999999;0.0678;0.0789;0.1643;0.5391;2083.3332
174;174;174;174;charter;70.972;206.31;206.31;35.972;70.972;0.5333;0.0069;0.0361;0.4216;3749.9999
175;175;175;175;charter;99.35;29.172;29.172;64.35;99.35;0.0678;0.0789;0.0897;1.0905;2916.6666
176;176;176;176;boat;56.372;323.31;323.31;56.372;91.372;0.5333;0.4522;0.0051;1.0266;6250.0013
177;177;177;177;charter;114.35;35.972;35.972;79.35;114.35;0.0678;0.0789;0.0559;0.6456;3749.9999
178;178;178;178;boat;63.172;362.31;362.31;63.172;98.172;0.5333;0.4522;0.2413;1.0266;7083.3317
179;179;179;179;charter;93.85;71.214;71.214;64.35;93.85;0.0678;0.0503;0.1082;0.324;2916.6666
180;180;180;180;beach;49.572;49.572;49.572;121.014;150.014;0.0678;0.0789;0.1643;0.5391;5416.6667
181;181;181;181;charter;67.604;151.00799999999998;151.00799999999998;32.604;67.604;0.5333;0.4522;0.2413;1.0266;2916.6666
182;182;182;182;charter;75.204;186.208;186.208;40.204;75.204;0.5333;0.4522;0.2413;1.0266;3749.9999
183;183;183;183;boat;26.106;92.058;92.058;26.106;61.106;0.5333;0.0069;0.0361;0.4216;1249.9998
184;184;184;184;boat;57.904;37.506;37.506;57.904;86.904;0.0678;0.0789;0.0014;0.0029;2083.3332
185;185;185;185;charter;72.506;132.25799999999998;132.25799999999998;37.506;72.506;0.5333;0.4522;0.2413;1.0266;2083.3332
186;186;186;186;charter;106.706;252.858;252.858;71.706;106.706;0.5333;0.0069;0.0361;0.4216;4583.332
187;187;187;187;boat;71.706;252.858;252.858;71.706;106.706;0.5333;0.0069;0.0361;0.4216;4583.332
188;188;188;188;beach;34.914;34.914;34.914;34.914;53.414;0.2537;0.1498;0.2339;0.6288;3749.9999
189;189;189;189;charter;127.848;63.004;63.004;92.848;127.848;0.0678;0.0789;0.0102;0.0209;6250.0013
190;190;190;190;charter;117.404;137.648;137.648;93.404;117.404;0.1049;0.0079;0.0613;0.3087;9583.3357
191;191;191;191;charter;82.804;221.408;221.408;47.804;82.804;0.5333;0.4522;0.0051;1.0266;4583.332
192;192;192;192;boat;35.972;206.31;206.31;35.972;70.972;0.5333;0.4522;0.1665;0.3975;3749.9999
193;193;193;193;pier;21.714;21.714;21.714;21.714;40.214;0.2537;0.1498;0.2339;0.6288;2083.3332
194;194;194;194;charter;50.114;10.534;10.534;15.114;50.114;0.0678;0.0789;0.0102;0.0209;1249.9998
195;195;195;195;charter;70.972;206.31;206.31;35.972;70.972;0.5333;0.4522;0.2413;1.0266;3749.9999
196;196;196;196;charter;106.706;252.858;252.858;71.706;106.706;0.5333;0.4522;0.1665;0.3975;4583.332
197;197;197;197;pier;75.50399999999999;75.50399999999999;75.50399999999999;75.50399999999999;100.504;0.0678;0.0503;0.2601;0.5391;2916.6666
198;198;198;198;charter;72.098;26.106;26.106;37.098;72.098;0.0678;0.0025;0.0108;0.2377;1249.9998
199;199;199;199;charter;50.398;22.704;22.704;20.898000000000003;50.398;0.0678;0.0503;0.0016;0.1176;416.66668
200;200;200;200;boat;101.898;71.706;71.706;101.898;136.898;0.0678;0.0789;0.0559;0.6456;4583.332
201;201;201;201;beach;117.306;117.306;117.306;181.104;210.104;0.0678;0.0789;0.1643;0.5391;7916.6663
202;202;202;202;charter;163.70600000000002;453.858;453.858;128.70600000000002;163.70600000000002;0.5333;0.0069;0.0361;0.4216;8750.001
203;203;203;203;pier;26.106;26.106;26.106;40.304;69.304;0.0678;0.0025;0.0499;0.2421;1249.9998
204;204;204;204;charter;72.506;132.25799999999998;132.25799999999998;37.506;72.506;0.5333;0.4522;0.2413;1.0266;2083.3332
205;205;205;205;boat;69.498;69.498;69.498;69.498;87.99799999999999;0.2537;0.1498;0.2339;0.6288;2916.6666
206;206;206;206;boat;48.906000000000006;69.498;69.498;48.906000000000006;72.906;0.1049;0.0451;0.0023;0.0046;2916.6666
207;207;207;207;boat;47.804;70.44800000000001;70.44800000000001;47.804;71.804;0.1049;0.0451;0.1574;0.4671;4583.332
208;208;208;208;charter;141.64;116.64;116.64;116.64;141.64;0.0678;0.0503;0.0276;0.0029;5416.6667
209;209;209;209;pier;47.804;47.804;47.804;100.64;129.64;0.0678;0.0789;0.0014;0.0029;4583.332
210;210;210;210;charter;52.404;80.608;80.608;17.404;52.404;0.5333;0.4522;0.2413;1.0266;1249.9998
211;211;211;211;charter;387.208;115.248;115.248;362.208;387.208;0.2537;0.1498;0.6817;2.3014;7916.6663
212;212;212;212;charter;98.004;291.808;291.808;63.004;98.004;0.5333;0.4522;0.0156;0.0058;6250.0013
213;213;213;213;pier;32.604;32.604;32.604;68.64;97.64;0.0678;0.0789;0.1643;0.5391;2916.6666
214;214;214;214;charter;61.64;36.64;36.64;36.64;61.64;0.0678;0.0052;0.1491;0.2421;1249.9998
215;215;215;215;charter;40.934;39.474;39.474;5.934;40.934;0.5333;0.4522;0.2413;1.0266;416.66668
216;216;216;216;beach;120.004;120.004;120.004;252.64;281.64;0.0678;0.0789;0.1643;0.5391;12499.998
217;217;217;217;charter;50.13399999999999;100.674;100.674;15.134;50.13399999999999;0.5333;0.4522;0.0156;0.0058;2083.3332
218;218;218;218;charter;68.53399999999999;223.074;223.074;33.534;68.53399999999999;0.5333;0.4522;0.0156;0.0058;5416.6667
219;219;219;219;charter;59.334;161.874;161.874;24.334;59.334;0.5333;0.4522;0.0156;0.0058;3749.9999
220;220;220;220;charter;163.70600000000002;453.858;453.858;128.70600000000002;163.70600000000002;0.5333;0.4522;0.2413;1.0266;8750.001
221;221;221;221;charter;106.706;252.858;252.858;71.706;106.706;0.5333;0.4522;0.0156;0.0058;4583.332
222;222;222;222;boat;180.00599999999997;255.798;255.798;180.00599999999997;204.006;0.1049;0.0451;0.1574;0.4671;12499.998
223;223;223;223;charter;139.704;71.706;71.706;110.704;139.704;0.0678;0.0789;0.0971;0.1648;4583.332
224;224;224;224;boat;26.106;92.058;92.058;26.106;61.106;0.5333;0.4522;0.2413;1.0266;1249.9998
225;225;225;225;charter;79.404;81.648;81.648;55.404;79.404;0.1049;0.0451;0.1574;0.4671;5416.6667
226;226;226;226;pier;47.804;47.804;47.804;100.64;129.64;0.0678;0.0789;0.0014;0.0029;4583.332
227;227;227;227;charter;82.804;221.408;221.408;47.804;82.804;0.5333;0.0069;0.0361;0.4216;4583.332
228;228;228;228;charter;50.114;10.534;10.534;15.114;50.114;0.0678;0.0789;0.0102;0.0209;1249.9998
229;229;229;229;pier;5.922000000000001;5.922000000000001;5.922000000000001;5.922000000000001;30.922;0.0678;0.0503;0.2601;0.5391;2083.3332
230;230;230;230;pier;11.322;11.322;11.322;11.322;36.322;0.0678;0.0503;0.0276;0.0029;4583.332
231;231;231;231;pier;6.29;6.29;6.29;6.29;35.29;0.0678;0.0789;0.1643;0.5391;4583.332
232;232;232;232;boat;17.986;17.986;17.986;17.986;46.986;0.0678;0.0789;0.0014;0.0029;3749.9999
233;233;233;233;charter;42.986;17.986;17.986;17.986;42.986;0.0678;0.0503;0.023;0.1648;3749.9999
234;234;234;234;charter;46.986;17.986;17.986;17.986;46.986;0.0678;0.0789;0.1643;0.5391;3749.9999
235;235;235;235;boat;45.18600000000001;45.18600000000001;45.18600000000001;45.18600000000001;70.186;0.0678;0.0503;0.2601;0.5391;10416.666
